n,nsamp,error
32,single linkage,0.125
32,single linkage,0.0625
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.015625
64,single linkage,0
64,single linkage,0.015625
64,single linkage,0.171875
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.046875
64,single linkage,0.484375
64,single linkage,0.453125
64,single linkage,0
64,single linkage,0
64,single linkage,0.046875
64,single linkage,0.015625
64,single linkage,0.453125
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.046875
64,single linkage,0.015625
64,single linkage,0
64,single linkage,0
64,single linkage,0.015625
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.125
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.140625
128,single linkage,0
128,single linkage,0.453125
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
1024,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
2048,single linkage,0
16,single linkage,0.3125
16,single linkage,0.375
16,single linkage,0.25
16,single linkage,0.25
16,single linkage,0.3125
16,single linkage,0.1875
16,single linkage,0.5
16,single linkage,0.125
16,single linkage,0.4375
16,single linkage,0.4375
16,single linkage,0.25
16,single linkage,0.3125
16,single linkage,0.3125
16,single linkage,0.3125
16,single linkage,0.3125
16,single linkage,0.0625
16,single linkage,0
16,single linkage,0.1875
16,single linkage,0.25
16,single linkage,0.25
16,single linkage,0.375
16,single linkage,0.4375
16,single linkage,0.25
16,single linkage,0.4375
16,single linkage,0.25
16,single linkage,0.4375
16,single linkage,0.1875
16,single linkage,0.25
16,single linkage,0.5
